AccountHoldings.hClustModel.groups,ReportName,ReportType,Account,SecType,SecGroup,Cusip,Ticker,Issuer,AmountOutstanding,Analyst,Currency,Duration,Leh,Maturity,Moodys,Oas,Price,SAndP,Ytw,Coupon
1,Account,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CUSIP,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Index,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,CUSIP,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Account,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Account,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,CUSIPHistory,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AccountHistory_Detail,9,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,Account,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Account,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,CUSIP,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,CUSIP,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,AccountHistory_Detail,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IndexByAccount,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Account,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,CUSIP,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,CUSIP,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Analytics (BRS),3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Account,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Account,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
6,Analytics (BRS),3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Account,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Account,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
8,CUSIP,2,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3,CUSIP,2,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
3,CUSIP,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
9,Account,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0
4,CUSIPHistory,7,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Index Analytics (BRS),15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CUSIP,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,IndexByAccount,14,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Index,10,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Analytics (BRS),3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,Analytics (BRS),3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,CUSIP,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Account,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,WA,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
